"Parent Molecule ChEMBL ID";"Parent Molecule Name";"Parent Molecule Type";"Max Phase";"First Approval";"USAN Stem";"Smiles";"Mechanism of Action";"Mechanism Comment";"Selectivity Comment";"Target ChEMBL ID";"Target Name";"Action Type";"Target Type";"Target Organism";"Binding Site Name";"Binding Site Comment";"References";"Synonyms";"Parent Molecule ChEMBL ID"
"CHEMBL2109389";"IMGATUZUMAB";"Antibody";"2";"None";"'-mab; -mab'";"None";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2109389': [{'ref_id': '28467975', 'ref_url': 'http://europepmc.org/abstract/MED/28467975', 'ref_type': 'PubMed'}]}";"Imgatuzumab (INN, USAN)|";"CHEMBL2109389"
"CHEMBL4594515";"LOSATUXIZUMAB VEDOTIN";"Antibody drug conjugate";"2";"None";"'-dotin; -mab; -mab'";"None";"Epidermal growth factor receptor binding agent";"";"";"CHEMBL203";"Epidermal growth factor receptor";"BINDING AGENT";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4594515': [{'ref_id': '32189093', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/32189093/', 'ref_type': 'PubMed'}]}";"Losatuxizumab vedotin (INN)|";"CHEMBL4594515"
"CHEMBL3647420";"PYROTINIB";"Small molecule";"3";"None";"'-tinib'";"CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/[C@H]1CCCN1C";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3647420': [{'ref_id': 'http://meetinglibrary.asco.org/content/146824-156', 'ref_url': 'http://meetinglibrary.asco.org/content/146824-156', 'ref_type': 'Other'}]}";"Pyrotinib (USAN)|";"CHEMBL3647420"
"CHEMBL2109390";"MAB-425";"Unknown";"2";"None";"";"None";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2109390': [{'ref_id': '9191875', 'ref_url': 'http://europepmc.org/abstract/MED/9191875', 'ref_type': 'PubMed'}]}";"Mab-425";"CHEMBL2109390"
"CHEMBL1963502";"PKI-166";"Small molecule";"1";"None";"";"C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1";"Epidermal growth factor receptor erbB1 inhibitor";"Also potent against ABL1";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL1963502': [{'ref_id': '10850439', 'ref_url': 'http://europepmc.org/abstract/MED/10850439', 'ref_type': 'PubMed'}]}";"Pki-166";"CHEMBL1963502"
"CHEMBL2108038";"MATUZUMAB";"Antibody";"2";"None";"'-mab; -mab'";"None";"Epidermal growth factor receptor erbB1 inhibitor";"The binding of matuzumab to domain III sterically blocks the domain rearrangement that is required for high affinity ligand binding and receptor dimerization.";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2108038': [{'ref_id': '18394559', 'ref_url': 'http://europepmc.org/abstract/MED/18394559', 'ref_type': 'PubMed'}]}";"Matuzumab (INN)|";"CHEMBL2108038"
"CHEMBL3678958";"RUSERONTINIB";"Small molecule";"3";"None";"'-tinib'";"CC(C)n1c(Nc2cccnc2)nc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc21";"Epidermal growth factor receptor erbB1 inhibitor";"";"Inhibits WT and L858R mutant EGFR. Also inhibits FYN, HCK, KDR, PDGFRβ, CSF1R, FGFR1 and FGFR2 with moderate activity.";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3678958': [{'ref_id': '22402607', 'ref_url': 'http://europepmc.org/abstract/MED/22402607', 'ref_type': 'PubMed'}]}";"Ruserontinib (INN)|";"CHEMBL3678958"
"CHEMBL4650279";"TUXOBERTINIB";"Small molecule";"1";"None";"'-tinib'";"C=CC(=O)Nc1cc2c(Nc3ccc(OCc4ccccn4)c(Cl)c3)ncnc2cc1OCCN1CCOCC1";"Epidermal growth factor receptor erbB1 negative allosteric modulator";"Allosteric, irreversible, ATP competitive inhibitor";"Selective for mutants vs. wild-type.";"CHEMBL203";"Epidermal growth factor receptor";"NEGATIVE ALLOSTERIC MODULATOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4650279': [{'ref_id': 'NCT04209465', 'ref_url': 'https://www.clinicaltrials.gov/ct2/show/NCT04209465', 'ref_type': 'ClinicalTrials'}, {'ref_id': 'https://ascopubs.org/doi/abs/10.1200/JCO.2020.38.15_suppl.TPS3665', 'ref_url': 'https://ascopubs.org/doi/abs/10.1200/JCO.2020.38.15_suppl.TPS3665', 'ref_type': 'Other'}, {'ref_id': 'https://investors.blackdiamondtherapeutics.com/news-releases/news-release-details/black-diamond-therapeutics-present-phase-1-bdtx-189-data', 'ref_url': 'https://investors.blackdiamondtherapeutics.com/news-releases/news-release-details/black-diamond-therapeutics-present-phase-1-bdtx-189-data', 'ref_type': 'Other'}]}";"Tuxobertinib (INN, USAN)|";"CHEMBL4650279"
"CHEMBL4297258";"FIRMONERTINIB";"Small molecule";"3.0";"None";"'-tinib'";"C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OCC(F)(F)F)nc1N(C)CCN(C)C";"Epidermal growth factor receptor erbB1 inhibitor";"";"Targets variant T790M and activating mutants";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4297258': [{'ref_id': '32007598', 'ref_url': 'http://europepmc.org/abstract/MED/32007598', 'ref_type': 'PubMed'}]}";"Firmonertinib (INN, USAN)|Firmonertinib mesylate (USAN)|";"CHEMBL4297258"
"CHEMBL3989988";"MODOTUXIMAB";"Antibody";"3";"None";"'-mab'";"None";"Epidermal growth factor receptor erbB1 antagonist";"";"";"CHEMBL203";"Epidermal growth factor receptor";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3989988': [{'ref_id': '29423521', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/29423521/', 'ref_type': 'PubMed'}]}";"Modotuximab (INN, USAN)|";"CHEMBL3989988"
